profession,measure,year,practitioners
Mental health nurses,Number of practitioners,2015,20790
Mental health occupational therapists,Number of practitioners,2015,1806
Psychiatrists,Number of practitioners,2015,3216
Psychologists,Number of practitioners,2015,24474
Mental health social workers,Number of practitioners,2015,1463
Mental health nurses,Number of practitioners,2024,28284
Mental health occupational therapists,Number of practitioners,2024,3121
Psychiatrists,Number of practitioners,2024,4485
Psychologists,Number of practitioners,2024,36871
Mental health social workers,Number of practitioners,2024,3440
